time,StationA_Item,StationA_ItemStep
0,I10,2,0,0,0,0,0

5,I11,2I10,3,0,0,0,0

10,I12,2I10,3I11,3,0,0,0

15,I13,2I10,3I11,3,0,0,0

20,I14,2I13,3I11,3,0,0,0

25,I15,2I13,3,0,0,0,0

30,I16,2I13,3I15,3,0,0,0

35,I17,2I16,3I15,3,0,0,0

40,I18,2I16,3I15,3,0,0,0

45,I19,2I16,3,0,0,0,0

50,I20,2I19,3,0,0,0,0

55,I21,2I19,3I20,3,0,0,0

60,I22,2I19,3I20,3,0,0,0

65,I23,2I22,3I20,3,0,0,0

70,I24,2I22,3,0,0,0,0

75,I25,2I22,3I24,3,0,0,0

80,I26,2I25,3I24,3,0,0,0

85,I27,2I25,3I24,3,0,0,0

90,I28,2I25,3,0,0,0,0

95,I29,2I28,3,0,0,0,0

100,I30,2I28,3I29,3,0,0,0

105,I31,2I28,3I29,3,0,0,0

110,I32,2I31,3I29,3,0,0,0

115,I33,2I31,3,0,0,0,0

120,I34,2I31,3I33,3,0,0,0

125,I35,2I34,3I33,3,0,0,0

130,I36,2I34,3I33,3,0,0,0

135,I37,2I34,3,0,0,0,0

140,I38,2I37,3,0,0,0,0

145,I39,2I37,3I38,3,0,0,0

150,I40,2I37,3I38,3,0,0,0

155,I41,2I40,3I38,3,0,0,0

160,I42,2I40,3,0,0,0,0

165,I43,2I40,3I42,3,0,0,0

170,I44,2I43,3I42,3,0,0,0

175,I45,2I43,3I42,3,0,0,0

180,I46,2I43,3,0,0,0,0

185,I47,2I46,3,0,0,0,0

190,I48,2I46,3I47,3,0,0,0

195,I49,2I46,3I47,3,0,0,0

200,I50,2I49,3I47,3,0,0,0

205,I51,2I49,3,0,0,0,0

210,I52,2I49,3I51,3,0,0,0

215,I53,2I52,3I51,3,0,0,0

220,I54,2I52,3I51,3,0,0,0

225,I55,2I52,3,0,0,0,0

230,I56,2I55,3,0,0,0,0

235,I57,2I55,3I56,3,0,0,0

240,I58,2I55,3I56,3,0,0,0

245,I59,2I58,3I56,3,0,0,0

250,I60,2I58,3,0,0,0,0

255,I61,2I58,3I60,3,0,0,0

260,I62,2I61,3I60,3,0,0,0

265,I63,2I61,3I60,3,0,0,0

270,I64,2I61,3,0,0,0,0

275,I65,2I64,3,0,0,0,0

280,I66,2I64,3I65,3,0,0,0

285,I67,2I64,3I65,3,0,0,0

290,I68,2I67,3I65,3,0,0,0

295,I69,2I67,3,0,0,0,0

300,I70,2I67,3I69,3,0,0,0

305,I71,2I70,3I69,3,0,0,0

310,I72,2I70,3I69,3,0,0,0

315,I73,2I70,3,0,0,0,0

320,I74,2I73,3,0,0,0,0

325,I75,2I73,3I74,3,0,0,0

330,I76,2I73,3I74,3,0,0,0

335,I77,2I76,3I74,3,0,0,0

340,I78,2I76,3,0,0,0,0

345,I79,2I76,3I78,3,0,0,0

350,I80,2I79,3I78,3,0,0,0

355,I81,2I79,3I78,3,0,0,0

360,I82,2I79,3,0,0,0,0

365,I83,2I82,3,0,0,0,0

370,I84,2I82,3I83,3,0,0,0

375,I85,2I82,3I83,3,0,0,0

380,I86,2I85,3I83,3,0,0,0

385,I87,2I85,3,0,0,0,0

390,I88,2I85,3I87,3,0,0,0

395,I89,2I88,3I87,3,0,0,0

400,I90,2I88,3I87,3,0,0,0

405,I91,2I88,3,0,0,0,0

410,I92,2I91,3,0,0,0,0

415,I93,2I91,3I92,3,0,0,0

420,I94,2I91,3I92,3,0,0,0

425,I95,2I94,3I92,3,0,0,0

430,I96,2I94,3,0,0,0,0

435,I97,2I94,3I96,3,0,0,0

440,I98,2I97,3I96,3,0,0,0

445,I99,2I97,3I96,3,0,0,0

450,I100,2I97,3,0,0,0,0

455,I101,2I100,3,0,0,0,0

460,I102,2I100,3I101,3,0,0,0

465,I103,2I100,3I101,3,0,0,0

470,I104,2I103,3I101,3,0,0,0

475,I105,2I103,3,0,0,0,0

480,I106,2I103,3I105,3,0,0,0

485,I107,2I106,3I105,3,0,0,0

490,I108,2I106,3I105,3,0,0,0

495,I109,2I106,3,0,0,0,0

500,I110,2I109,3,0,0,0,0

505,I111,2I109,3I110,3,0,0,0

510,I112,2I109,3I110,3,0,0,0

515,I113,2I112,3I110,3,0,0,0

520,I114,2I112,3,0,0,0,0

525,I115,2I112,3I114,3,0,0,0

530,I116,2I115,3I114,3,0,0,0

535,I117,2I115,3I114,3,0,0,0

540,I118,2I115,3,0,0,0,0

545,I119,2I118,3,0,0,0,0

550,I120,2I118,3I119,3,0,0,0

555,I121,2I118,3I119,3,0,0,0

560,I122,2I121,3I119,3,0,0,0

565,I123,2I121,3,0,0,0,0

570,I124,2I121,3I123,3,0,0,0

575,I125,2I124,3I123,3,0,0,0

580,I126,2I124,3I123,3,0,0,0

585,I127,2I124,3,0,0,0,0

590,I128,2I127,3,0,0,0,0

595,I129,2I127,3I128,3,0,0,0

600,I130,2I127,3I128,3,0,0,0

605,I131,2I130,3I128,3,0,0,0

610,I132,2I130,3,0,0,0,0

615,I133,2I130,3I132,3,0,0,0

620,I134,2I133,3I132,3,0,0,0

625,I135,2I133,3I132,3,0,0,0

630,I136,2I133,3,0,0,0,0

635,I137,2I136,3,0,0,0,0

640,I138,2I136,3I137,3,0,0,0

645,I139,2I136,3I137,3,0,0,0

650,I140,2I139,3I137,3,0,0,0

655,I141,2I139,3,0,0,0,0

660,I142,2I139,3I141,3,0,0,0

665,I143,2I142,3I141,3,0,0,0

670,I144,2I142,3I141,3,0,0,0

675,I145,2I142,3,0,0,0,0

680,I146,2I145,3,0,0,0,0

685,I147,2I145,3I146,3,0,0,0

690,I148,2I145,3I146,3,0,0,0

695,I149,2I148,3I146,3,0,0,0

700,I150,2I148,3,0,0,0,0

705,I151,2I148,3I150,3,0,0,0

710,I152,2I151,3I150,3,0,0,0

715,I153,2I151,3I150,3,0,0,0

720,I154,2I151,3,0,0,0,0

725,I155,2I154,3,0,0,0,0

730,I156,2I154,3I155,3,0,0,0

735,I157,2I154,3I155,3,0,0,0

740,I158,2I157,3I155,3,0,0,0

745,I159,2I157,3,0,0,0,0

750,I160,2I157,3I159,3,0,0,0

755,I161,2I160,3I159,3,0,0,0

760,I162,2I160,3I159,3,0,0,0

765,I163,2I160,3,0,0,0,0

770,I164,2I163,3,0,0,0,0

775,I165,2I163,3I164,3,0,0,0

780,I166,2I163,3I164,3,0,0,0

785,I167,2I166,3I164,3,0,0,0

790,I168,2I166,3,0,0,0,0

795,I169,2I166,3I168,3,0,0,0

800,I170,2I169,3I168,3,0,0,0

805,I171,2I169,3I168,3,0,0,0

810,I172,2I169,3,0,0,0,0

815,I173,2I172,3,0,0,0,0

820,I174,2I172,3I173,3,0,0,0

825,I175,2I172,3I173,3,0,0,0

830,I176,2I175,3I173,3,0,0,0

835,I177,2I175,3,0,0,0,0

840,I178,2I175,3I177,3,0,0,0

845,I179,2I178,3I177,3,0,0,0

850,I180,2I178,3I177,3,0,0,0

855,I181,2I178,3,0,0,0,0

860,I182,2I181,3,0,0,0,0

865,I183,2I181,3I182,3,0,0,0

870,I184,2I181,3I182,3,0,0,0

875,I185,2I184,3I182,3,0,0,0

880,I186,2I184,3,0,0,0,0

885,I187,2I184,3I186,3,0,0,0

890,I188,2I187,3I186,3,0,0,0

895,I189,2I187,3I186,3,0,0,0

900,I190,2I187,3,0,0,0,0

905,I191,2I190,3,0,0,0,0

910,I192,2I190,3I191,3,0,0,0

